County,State,2013,2014,2015,2016,2017,2018,2019
Gilpin County, Colorado,"5,530","5,747","5,805","5,914","6,018","6,112","6,243"
Grand County, Colorado,"14,312","14,559","14,726","15,179","15,364","15,511","15,734"
Gunnison County, Colorado,"15,575","15,765","16,104","16,414","16,863","17,167","17,462"
Hinsdale County, Colorado,804,773,764,788,791,808,820
Huerfano County, Colorado,"6,460","6,393","6,404","6,580","6,628","6,887","6,897"
Jackson County, Colorado,"1,336","1,385","1,353","1,358","1,375","1,395","1,392"
Jefferson County, Colorado,"552,031","558,819","564,888","571,413","575,417","579,392","582,881"
Kiowa County, Colorado,"1,392","1,380","1,384","1,342","1,365","1,379","1,406"
Kit Carson County, Colorado,"8,245","8,018","8,215","7,626","7,137","7,159","7,097"
Lake County, Colorado,"7,263","7,317","7,442","7,590","7,750","7,846","8,127"
La Plata County, Colorado,"53,368","53,865","54,687","55,316","55,563","56,299","56,221"
Larimer County, Colorado,"316,225","324,008","333,303","338,984","344,084","350,660","356,899"
Las Animas County, Colorado,"14,396","14,048","14,043","14,073","14,201","14,508","14,506"
Lincoln County, Colorado,"5,435","5,501","5,543","5,551","5,523","5,606","5,701"
Logan County, Colorado,"22,174","22,440","22,472","22,435","22,317","22,268","22,409"
Mesa County, Colorado,"147,175","147,113","148,025","149,736","151,170","152,951","154,210"
Mineral County, Colorado,732,704,744,756,753,772,769
Moffat County, Colorado,"13,126","12,934","12,939","13,144","13,088","13,183","13,283"
Montezuma County, Colorado,"25,542","25,514","25,716","25,994","26,112","26,152","26,183"
Montrose County, Colorado,"40,549","40,585","40,562","41,151","41,753","42,206","42,758"
Morgan County, Colorado,"28,223","28,103","28,252","28,199","28,295","28,769","29,068"
Otero County, Colorado,"18,452","18,336","18,182","18,266","18,345","18,338","18,278"
Ouray County, Colorado,"4,552","4,574","4,608","4,789","4,813","4,822","4,952"
Park County, Colorado,"16,184","16,381","16,726","17,343","17,894","18,525","18,845"
Phillips County, Colorado,"4,383","4,392","4,327","4,280","4,288","4,285","4,265"
Pitkin County, Colorado,"17,460","17,712","17,940","17,975","17,973","17,976","17,767"
Prowers County, Colorado,"12,317","12,062","11,936","11,926","11,998","12,079","12,172"
