County,State,2013,2014,2015,2016,2017,2018,2019
Boyle County, Kentucky,"29,632","29,810","29,782","29,965","29,972","30,082","30,060"
Bracken County, Kentucky,"8,423","8,359","8,290","8,368","8,285","8,278","8,303"
Breathitt County, Kentucky,"13,527","13,366","13,363","13,177","12,929","12,787","12,630"
Breckinridge County, Kentucky,"20,042","19,883","19,979","19,982","20,131","20,309","20,477"
Bullitt County, Kentucky,"76,878","78,023","78,677","79,222","80,269","81,009","81,676"
Butler County, Kentucky,"12,704","12,736","12,734","12,686","12,778","12,743","12,879"
Caldwell County, Kentucky,"12,887","12,848","12,748","12,634","12,666","12,716","12,747"
Calloway County, Kentucky,"38,425","38,452","38,656","38,733","38,832","38,964","39,001"
Campbell County, Kentucky,"91,423","91,971","92,124","92,257","92,878","93,464","93,584"
Carlisle County, Kentucky,"4,959","4,961","4,852","4,783","4,788","4,739","4,760"
Carroll County, Kentucky,"10,838","10,738","10,682","10,614","10,714","10,712","10,631"
Carter County, Kentucky,"27,600","27,517","27,439","27,304","27,214","27,040","26,797"
Casey County, Kentucky,"16,011","15,782","15,749","15,775","15,818","15,926","16,159"
Christian County, Kentucky,"73,612","73,282","73,075","71,796","71,024","70,712","70,461"
Clark County, Kentucky,"35,550","35,622","35,660","35,851","35,899","36,180","36,263"
Clay County, Kentucky,"21,186","21,081","20,974","20,626","20,251","20,088","19,901"
Clinton County, Kentucky,"10,175","10,203","10,183","10,200","10,212","10,152","10,218"
Crittenden County, Kentucky,"9,178","9,175","9,168","9,131","8,999","8,896","8,806"
Cumberland County, Kentucky,"6,790","6,722","6,737","6,731","6,710","6,693","6,614"
Daviess County, Kentucky,"98,294","98,441","99,485","100,032","100,461","100,883","101,511"
Edmonson County, Kentucky,"12,058","12,007","11,991","12,076","12,226","12,249","12,150"
Elliott County, Kentucky,"7,551","7,532","7,548","7,491","7,493","7,499","7,517"
Estill County, Kentucky,"14,482","14,441","14,373","14,315","14,178","14,150","14,106"
Fayette County, Kentucky,"309,865","311,784","315,819","319,644","321,964","322,426","323,152"
Fleming County, Kentucky,"14,536","14,476","14,578","14,481","14,439","14,485","14,581"
Floyd County, Kentucky,"38,474","37,998","37,531","36,968","36,296","35,896","35,589"
Franklin County, Kentucky,"49,478","49,725","50,070","50,292","50,492","50,801","50,991"
Fulton County, Kentucky,"6,389","6,266","6,266","6,185","6,163","6,066","5,969"
Gallatin County, Kentucky,"8,578","8,636","8,613","8,719","8,720","8,766","8,869"
Garrard County, Kentucky,"16,992","16,972","17,207","17,382","17,449","17,519","17,666"
Grant County, Kentucky,"24,565","24,829","24,736","24,910","24,973","25,065","25,069"
Graves County, Kentucky,"37,406","37,583","37,248","37,217","37,190","37,319","37,266"
Grayson County, Kentucky,"25,948","26,066","26,138","26,093","26,286","26,293","26,427"
Green County, Kentucky,"11,154","11,017","10,951","10,969","11,036","10,998","10,941"
Greenup County, Kentucky,"36,483","36,303","36,006","35,824","35,514","35,332","35,098"
Hancock County, Kentucky,"8,626","8,681","8,641","8,723","8,778","8,738","8,722"
Hardin County, Kentucky,"108,969","108,483","106,272","106,964","108,161","110,279","110,958"
Harlan County, Kentucky,"28,489","28,014","27,506","26,996","26,676","26,309","26,010"
Harrison County, Kentucky,"18,571","18,636","18,641","18,569","18,735","18,780","18,886"
Hart County, Kentucky,"18,464","18,512","18,421","18,541","18,745","18,902","19,035"
Henderson County, Kentucky,"46,338","46,366","46,344","46,212","45,867","45,512","45,210"
Henry County, Kentucky,"15,432","15,547","15,563","15,834","15,972","16,061","16,126"
Hickman County, Kentucky,"4,708","4,679","4,612","4,607","4,518","4,431","4,380"
Hopkins County, Kentucky,"46,424","46,155","46,055","45,598","45,293","45,024","44,686"
Jackson County, Kentucky,"13,391","13,307","13,325","13,364","13,422","13,403","13,329"
Jefferson County, Kentucky,"759,183","761,725","764,946","767,464","769,828","768,101","766,757"
Jessamine County, Kentucky,"50,120","50,871","51,809","52,219","53,259","53,757","54,115"
Johnson County, Kentucky,"23,458","23,252","23,128","22,858","22,606","22,391","22,188"
Kenton County, Kentucky,"163,131","163,623","164,478","164,962","165,608","166,292","166,998"
Knott County, Kentucky,"16,092","15,944","15,680","15,492","15,244","15,076","14,806"
Knox County, Kentucky,"31,638","31,540","31,465","31,471","31,444","31,300","31,145"
Larue County, Kentucky,"14,019","14,106","14,110","14,018","14,196","14,299","14,398"
Laurel County, Kentucky,"59,701","59,897","59,919","60,078","60,317","60,660","60,813"
Lawrence County, Kentucky,"15,901","15,878","15,861","15,839","15,756","15,583","15,317"
Lee County, Kentucky,"6,876","6,796","6,746","6,604","6,602","7,052","7,403"
Leslie County, Kentucky,"10,985","10,830","10,644","10,431","10,310","10,151","9,877"
Letcher County, Kentucky,"23,540","23,357","23,049","22,759","22,303","21,813","21,553"
Lewis County, Kentucky,"13,751","13,830","13,663","13,516","13,363","13,268","13,275"
Lincoln County, Kentucky,"24,438","24,429","24,342","24,382","24,495","24,612","24,549"
Livingston County, Kentucky,"9,332","9,329","9,289","9,198","9,249","9,244","9,194"
Logan County, Kentucky,"26,976","26,812","26,746","26,678","27,003","26,983","27,102"
Lyon County, Kentucky,"8,452","8,411","8,474","8,238","8,261","8,171","8,210"
McCracken County, Kentucky,"65,337","65,318","64,948","65,304","65,364","65,307","65,418"
McCreary County, Kentucky,"17,925","17,922","17,883","17,548","17,372","17,290","17,231"
McLean County, Kentucky,"9,453","9,407","9,395","9,337","9,216","9,258","9,207"
Madison County, Kentucky,"85,934","87,080","88,212","89,532","91,170","92,107","92,987"
Magoffin County, Kentucky,"12,941","12,980","12,784","12,668","12,519","12,323","12,161"
Marion County, Kentucky,"19,928","19,079","19,212","19,135","19,276","19,326","19,273"
Marshall County, Kentucky,"31,215","30,993","31,059","31,280","31,318","31,202","31,100"
Martin County, Kentucky,"12,651","12,494","12,285","11,945","11,492","11,325","11,195"
Mason County, Kentucky,"17,323","17,133","17,050","17,167","17,192","17,080","17,070"
Meade County, Kentucky,"29,240","29,086","27,725","27,959","28,033","28,623","28,572"
Menifee County, Kentucky,"6,341","6,304","6,373","6,449","6,465","6,437","6,489"
Mercer County, Kentucky,"21,291","21,360","21,377","21,405","21,542","21,702","21,933"
Metcalfe County, Kentucky,"9,960","9,997","9,925","10,020","10,093","10,070","10,071"
Monroe County, Kentucky,"10,715","10,674","10,618","10,539","10,597","10,732","10,650"
Montgomery County, Kentucky,"27,229","27,365","27,576","27,666","27,913","28,109","28,157"
Morgan County, Kentucky,"13,362","13,343","13,267","13,260","13,230","13,372","13,309"
Muhlenberg County, Kentucky,"31,323","31,302","31,245","31,150","30,925","30,811","30,622"
Nelson County, Kentucky,"44,540","44,858","45,114","45,497","45,591","45,813","46,233"
Nicholas County, Kentucky,"7,008","7,050","7,059","7,083","7,160","7,195","7,269"
Ohio County, Kentucky,"23,975","23,948","24,021","24,158","24,116","24,064","23,994"
Oldham County, Kentucky,"63,062","63,969","64,556","65,410","66,557","66,512","66,799"
Owen County, Kentucky,"10,645","10,657","10,736","10,668","10,794","10,881","10,901"
Owsley County, Kentucky,"4,599","4,502","4,445","4,472","4,402","4,474","4,415"
Pendleton County, Kentucky,"14,565","14,476","14,487","14,595","14,602","14,588","14,590"
Perry County, Kentucky,"27,982","27,554","27,373","27,197","26,586","26,208","25,758"
Pike County, Kentucky,"63,853","62,931","61,781","60,431","58,905","58,492","57,876"
Powell County, Kentucky,"12,470","12,349","12,226","12,266","12,297","12,371","12,359"
Pulaski County, Kentucky,"63,793","63,866","63,862","64,013","64,314","64,584","64,979"
Robertson County, Kentucky,"2,214","2,185","2,134","2,125","2,120","2,130","2,108"
Rockcastle County, Kentucky,"16,742","16,826","16,932","16,872","16,778","16,823","16,695"
Rowan County, Kentucky,"24,210","24,250","24,642","24,416","24,514","24,503","24,460"
Russell County, Kentucky,"17,749","17,787","17,685","17,769","17,723","17,790","17,923"
Scott County, Kentucky,"50,000","51,219","52,155","53,425","54,782","55,968","57,004"
Shelby County, Kentucky,"44,460","45,089","45,787","46,548","47,209","48,059","49,024"
Simpson County, Kentucky,"17,681","17,753","17,901","17,992","18,046","18,403","18,572"
Spencer County, Kentucky,"17,678","17,813","18,072","18,336","18,619","19,021","19,351"
Taylor County, Kentucky,"25,159","25,360","25,586","25,441","25,544","25,514","25,769"
Todd County, Kentucky,"12,475","12,429","12,447","12,357","12,177","12,306","12,294"
Trigg County, Kentucky,"14,300","14,131","14,218","14,302","14,418","14,658","14,651"
Trimble County, Kentucky,"8,805","8,722","8,733","8,596","8,521","8,468","8,471"
Union County, Kentucky,"15,061","15,072","14,951","14,765","14,620","14,471","14,381"
Warren County, Kentucky,"119,575","121,394","124,122","126,419","129,074","130,750","132,896"
Washington County, Kentucky,"11,849","11,901","12,007","12,109","11,880","12,023","12,095"
Wayne County, Kentucky,"20,782","20,618","20,609","20,728","20,628","20,430","20,333"
Webster County, Kentucky,"13,357","13,184","13,155","13,181","13,012","13,051","12,942"
Whitley County, Kentucky,"35,870","35,833","36,109","36,108","36,074","36,101","36,264"
Wolfe County, Kentucky,"7,279","7,252","7,241","7,189","7,248","7,199","7,157"
Woodford County, Kentucky,"25,345","25,586","25,860","26,118","26,385","26,491","26,734"
Acadia Parish, Louisiana,"62,299","62,667","62,679","62,786","62,559","62,214","62,045"
Allen Parish, Louisiana,"25,664","25,714","25,631","25,680","25,583","25,567","25,627"
Ascension Parish, Louisiana,"114,636","117,282","119,374","121,558","123,177","124,858","126,604"
Assumption Parish, Louisiana,"23,199","23,047","22,898","22,756","22,568","22,279","21,891"
Avoyelles Parish, Louisiana,"41,275","41,088","40,979","40,983","40,836","40,402","40,144"
Beauregard Parish, Louisiana,"36,260","36,239","36,531","36,973","36,847","37,369","37,497"
Bienville Parish, Louisiana,"13,961","13,782","13,823","13,780","13,631","13,343","13,241"
Bossier Parish, Louisiana,"124,021","124,868","125,554","125,920","126,959","127,022","127,039"
Caddo Parish, Louisiana,"255,127","252,605","251,345","248,837","245,935","242,833","240,204"
Calcasieu Parish, Louisiana,"195,492","196,570","198,450","200,568","202,466","203,177","203,436"
Caldwell Parish, Louisiana,"9,984","9,950","10,045","10,074","9,959","9,964","9,918"
Cameron Parish, Louisiana,"6,713","6,726","6,825","6,896","6,944","7,013","6,973"
Catahoula Parish, Louisiana,"10,251","10,129","10,029","9,869","9,830","9,606","9,494"
Claiborne Parish, Louisiana,"16,662","16,402","16,261","16,146","15,953","15,895","15,670"
Concordia Parish, Louisiana,"20,500","20,479","20,228","19,970","19,846","19,586","19,259"
De Soto Parish, Louisiana,"27,089","27,061","27,101","27,190","27,267","27,426","27,463"
East Baton Rouge Parish, Louisiana,"444,181","445,119","445,512","446,677","444,511","442,058","440,059"
East Carroll Parish, Louisiana,"7,500","7,445","7,277","7,235","7,111","6,994","6,861"
East Feliciana Parish, Louisiana,"19,601","19,677","19,540","19,513","19,380","19,286","19,135"
Evangeline Parish, Louisiana,"33,827","33,758","33,724","33,667","33,663","33,496","33,395"
Franklin Parish, Louisiana,"20,508","20,432","20,386","20,370","20,256","20,164","20,015"
Grant Parish, Louisiana,"22,301","22,356","22,302","22,279","22,296","22,436","22,389"
Iberia Parish, Louisiana,"73,839","73,724","73,747","72,971","71,982","70,905","69,830"
Iberville Parish, Louisiana,"33,385","33,131","33,136","32,864","32,906","32,693","32,511"
Jackson Parish, Louisiana,"16,130","15,989","15,947","15,895","15,898","15,912","15,744"
Jefferson Parish, Louisiana,"434,264","434,078","435,175","436,572","436,126","433,884","432,493"
Jefferson Davis Parish, Louisiana,"31,295","31,447","31,431","31,388","31,480","31,537","31,368"
Lafayette Parish, Louisiana,"231,471","235,695","239,332","241,275","241,756","243,113","244,390"
Lafourche Parish, Louisiana,"97,276","97,886","98,314","98,506","98,123","97,981","97,614"
LaSalle Parish, Louisiana,"14,821","14,875","14,979","15,022","14,887","14,901","14,892"
Lincoln Parish, Louisiana,"47,233","47,198","47,434","47,473","47,471","47,112","46,742"
Livingston Parish, Louisiana,"133,668","135,168","137,116","139,627","137,712","139,394","140,789"
Madison Parish, Louisiana,"11,908","11,819","11,554","11,486","11,342","11,196","10,951"
Morehouse Parish, Louisiana,"26,938","26,652","26,301","25,894","25,655","25,324","24,874"
Natchitoches Parish, Louisiana,"39,118","39,124","39,004","39,024","39,042","38,616","38,158"
Orleans Parish, Louisiana,"378,637","383,940","389,742","391,843","391,493","391,004","390,144"
Ouachita Parish, Louisiana,"156,062","156,360","156,880","156,897","155,841","154,571","153,279"
Plaquemines Parish, Louisiana,"23,509","23,304","23,437","23,323","23,348","23,385","23,197"
Pointe Coupee Parish, Louisiana,"22,429","22,313","22,197","22,111","22,164","21,879","21,730"
Rapides Parish, Louisiana,"132,322","132,202","131,780","131,845","131,253","130,326","129,648"
Red River Parish, Louisiana,"8,957","8,757","8,711","8,621","8,527","8,526","8,442"
Richland Parish, Louisiana,"20,913","20,759","20,546","20,446","20,413","20,223","20,122"
Sabine Parish, Louisiana,"24,261","24,112","24,205","24,055","23,909","23,901","23,884"
St, Bernard Parish,"43,430","44,439","45,421","45,777","46,110","46,780","47,244"
St, Charles Parish,"52,614","52,678","52,572","52,796","52,620","52,775","53,100"
St, Helena Parish,"10,771","10,519","10,457","10,389","10,322","10,187","10,132"
St, James Parish,"21,607","21,515","21,481","21,433","21,380","21,151","21,096"
St, John the Baptist Parish,"43,570","43,714","43,523","43,401","43,328","43,119","42,837"
St, Landry Parish,"83,415","83,680","83,649","83,768","83,535","82,782","82,124"
St, Martin Parish,"52,901","53,256","53,831","53,771","54,066","53,562","53,431"
St, Mary Parish,"53,581","53,273","52,876","52,069","50,708","49,841","49,348"
St, Tammany Parish,"241,953","245,237","248,930","252,468","255,921","258,035","260,419"
Tangipahoa Parish, Louisiana,"125,520","127,010","128,716","130,619","132,353","133,837","134,758"
Tensas Parish, Louisiana,"4,933","4,853","4,772","4,656","4,574","4,470","4,334"
Terrebonne Parish, Louisiana,"112,707","113,482","113,817","113,006","111,823","111,163","110,461"
Union Parish, Louisiana,"22,454","22,558","22,487","22,528","22,398","22,243","22,108"
Vermilion Parish, Louisiana,"59,284","59,534","59,918","60,074","59,936","59,886","59,511"
Vernon Parish, Louisiana,"52,815","52,816","51,431","51,481","49,789","48,101","47,429"
Washington Parish, Louisiana,"46,407","46,319","46,358","46,387","46,649","46,588","46,194"
Webster Parish, Louisiana,"40,660","40,285","40,061","39,751","39,264","38,792","38,340"
West Baton Rouge Parish, Louisiana,"24,654","25,192","25,554","25,901","26,184","26,400","26,465"
West Carroll Parish, Louisiana,"11,453","11,526","11,287","11,136","10,974","10,977","10,830"
West Feliciana Parish, Louisiana,"15,462","15,379","15,383","15,327","15,371","15,492","15,568"
Winn Parish, Louisiana,"14,849","14,819","14,642","14,532","14,350","14,138","13,904"
Androscoggin County, Maine,"107,223","107,358","107,124","107,296","107,399","107,914","108,277"
Aroostook County, Maine,"70,064","69,520","68,818","68,243","67,609","67,318","67,055"
Cumberland County, Maine,"285,537","288,086","289,488","291,191","292,181","293,673","295,003"
Franklin County, Maine,"30,477","30,201","30,017","29,982","29,799","29,915","30,199"
Hancock County, Maine,"54,566","54,477","54,237","54,509","54,539","54,734","54,987"
